"y.level","term","estimate"
"1","SEXMale",-0.614045927174311
"1","age_in_years",-0.0374040447071403
"1","SEXMale:DESCRIPTIONBaby Food Products",-3.70064572962016
"1","SEXMale:DESCRIPTIONBeverage Bases/Conc/Nectar",-3.94968550136859
"1","SEXMale:DESCRIPTIONCheese/Cheese Prod",-0.427407806870085
"1","SEXMale:DESCRIPTIONChoc/Cocoa Prod",-0.141093320922196
"1","SEXMale:DESCRIPTIONColor Additiv Food/Drug/Cosmetic",-2.98156951035904
"1","SEXMale:DESCRIPTIONFishery/Seafood Prod",-0.0897808032185242
"1","SEXMale:DESCRIPTIONFruit/Fruit Prod",-0.181054524786558
"1","SEXMale:DESCRIPTIONGelatin/Rennet/Pudding Mix/Pie Filling",-3.00454283214186
"1","SEXMale:DESCRIPTIONMiscellaneous Food Related Items",-0.633950139226549
"1","SEXMale:DESCRIPTIONPowder Formula",-0.383095010961835
"1","SEXMale:DESCRIPTIONPrep Salad Prod",-4.3939254129283
"1","SEXMale:DESCRIPTIONSoft Drink/Water",-0.3527608197936
"2","SEXMale:DESCRIPTIONBaby Food Products",-0.166897867264041
"2","SEXMale:DESCRIPTIONBakery Prod/Dough/Mix/Icing",-0.16704401408848
"2","SEXMale:DESCRIPTIONBeverage Bases/Conc/Nectar",-0.521365487840456
"2","SEXMale:DESCRIPTIONCheese/Cheese Prod",-0.55934386995802
"2","SEXMale:DESCRIPTIONCoffee/Tea",-1.48724848844381
"2","SEXMale:DESCRIPTIONColor Additiv Food/Drug/Cosmetic",-0.137678477037796
"2","SEXMale:DESCRIPTIONDietary Conventional Foods/Meal Replacements",-0.152110092401557
"2","SEXMale:DESCRIPTIONDressing/Condiment",-3.19381588874741
"2","SEXMale:DESCRIPTIONEgg/Egg Prod",-0.541946019808864
"2","SEXMale:DESCRIPTIONFilled Milk/Imit Milk Prod",-1.16309373330411
"2","SEXMale:DESCRIPTIONFishery/Seafood Prod",-0.989619835039039
"2","SEXMale:DESCRIPTIONFood Additives (Human Use)",-0.331131090102761
"2","SEXMale:DESCRIPTIONFruit/Fruit Prod",-1.3884798529776
"2","SEXMale:DESCRIPTIONGelatin/Rennet/Pudding Mix/Pie Filling",-0.22733732764555
"2","SEXMale:DESCRIPTIONIce Cream Prod",-1.11606923204735
"2","SEXMale:DESCRIPTIONMacaroni/Noodle Prod",-0.336924675058928
"2","SEXMale:DESCRIPTIONMeat, Meat Products and Poultry",-1.13681723887949
"2","SEXMale:DESCRIPTIONMedical Foods, N.E.C.",-1.54187572234506
"2","SEXMale:DESCRIPTIONMilk/Butter/Dried Milk Prod",-2.97869959982894
"2","SEXMale:DESCRIPTIONMult Food Dinner/Grav/Sauce/Special",-2.93200181985641
"2","SEXMale:DESCRIPTIONNuts/Edible Seed",-2.60093535207346
"2","SEXMale:DESCRIPTIONPrep Salad Prod",-0.238475123264833
"2","SEXMale:DESCRIPTIONSnack Food Item",-0.623584767364538
"2","SEXMale:DESCRIPTIONSoup",-1.25391183066406
"2","SEXMale:DESCRIPTIONVegetable Oils",-0.926563789107469
"2","SEXMale:DESCRIPTIONVegetable Protein Prod",-0.826504167571793
"2","SEXMale:DESCRIPTIONVegetables/Vegetable Products",-2.61863789598789
"2","SEXMale:DESCRIPTIONWhole Grain/Milled Grain Prod/Starch",-0.889678716809295
"3","age_in_years",-0.0112846343423209
"3","SEXMale:DESCRIPTIONBakery Prod/Dough/Mix/Icing",-0.213333258472052
"3","SEXMale:DESCRIPTIONCandy W/O Choc/Special/Chew Gum",-0.0258892563446362
"3","SEXMale:DESCRIPTIONCereal Prep/Breakfast Food",-0.380170834507444
"3","SEXMale:DESCRIPTIONCheese/Cheese Prod",-0.374068471843289
"3","SEXMale:DESCRIPTIONChoc/Cocoa Prod",-0.822485836371456
"3","SEXMale:DESCRIPTIONCoffee/Tea",-0.738589991405834
"3","SEXMale:DESCRIPTIONDietary Conventional Foods/Meal Replacements",-0.67974039654666
"3","SEXMale:DESCRIPTIONEgg/Egg Prod",-1.72159258934899
"3","SEXMale:DESCRIPTIONFishery/Seafood Prod",-0.239740996560999
"3","SEXMale:DESCRIPTIONFood Additives (Human Use)",-1.04331877657616
"3","SEXMale:DESCRIPTIONFood Sweeteners (Nutritive)",-0.146104293374154
"3","SEXMale:DESCRIPTIONFruit/Fruit Prod",-0.351026901255795
"3","SEXMale:DESCRIPTIONIce Cream Prod",-0.452220455664996
"3","SEXMale:DESCRIPTIONMeat, Meat Products and Poultry",-0.446159763932932
"3","SEXMale:DESCRIPTIONMedical Foods, N.E.C.",-0.306158214551775
